date,open,high,low,close,volume
2025-03-26,16.63,17.23,16.63,16.85,91220584
2025-03-27,16.85,17.07,16.409999999,16.67,61819211
2025-03-28,16.71,16.85,16.21,16.37,62015943
2025-03-31,16.31,16.45,16.01,16.31,54379429
2025-04-01,16.29,16.53,15.93,16.29,52542776
2025-04-02,16.549999999,17.25,16.45,17.07,116797890
2025-04-03,16.47,16.97,16.43,16.65,59829530
2025-04-07,14.25,15.11,12.93,13.09,219238023
2025-04-08,13.39,13.85,13.25,13.63,131579782
2025-04-09,13.15,14.11,12.61,13.99,126659177
2025-04-10,14.71,15.19,14.41,14.59,122146013
2025-04-11,15.19,15.729999999,14.83,15.55,120667953
2025-04-14,16.29,16.43,16.01,16.21,74238641
2025-04-15,16.21,16.43,15.909999999,16.03,62107090
2025-04-16,15.729999999,15.79,15.07,15.13,77885422
2025-04-17,15.13,15.27,14.87,15.17,45347254
2025-04-22,15.05,15.51,14.93,15.37,45430071
2025-04-23,15.85,15.87,15.47,15.81,66420564
2025-04-24,15.97,16.01,15.09,15.41,69384773
2025-04-25,15.47,15.889999999,15.47,15.65,43500504
2025-04-28,15.83,15.83,15.27,15.47,35685608
2025-04-29,15.67,16.19,15.59,16.13,76595032
2025-04-30,16.17,16.229999999,15.83,16.03,44434371
2025-05-02,16.11,16.549999999,15.99,16.35,31378992
2025-05-06,16.389999999,16.45,16.15,16.409999999,33988132
2025-05-07,16.81,16.97,16.33,16.45,55660143
2025-05-08,16.45,17.57,16.01,17.19,137972190
2025-05-09,17.27,18.07,17.25,18.03,131131831
2025-05-12,18.57,18.97,18.09,18.65,121089022
2025-05-13,18.45,18.49,18.13,18.35,64079523
2025-05-14,18.63,18.85,18.33,18.81,60288438
2025-05-15,18.83,19.33,18.53,19.25,110181297
2025-05-16,18.99,19.87,18.93,19.41,99795195
2025-05-19,19.41,19.41,18.57,18.91,68326706
2025-05-20,18.87,19.47,18.63,19.41,66696221
2025-05-21,19.41,20.47,19.39,20.02,89762275
2025-05-22,20.12,20.52,19.63,19.77,76309597
2025-05-23,19.97,20.57,19.59,19.97,83055655
2025-05-26,19.37,19.55,18.01,18.05,201483660
2025-05-27,17.93,18.17,17.37,17.73,125016460
2025-05-28,17.87,18.15,17.25,17.31,90204571
2025-05-29,17.31,17.75,17.15,17.37,87333113
2025-05-30,17.21,17.33,16.83,17.29,86393363
2025-06-02,17.07,17.25,16.91,17.13,29326868
2025-06-03,17.25,17.65,17.17,17.41,70487369
2025-06-04,17.63,18.11,17.47,17.89,97207501
2025-06-05,18.17,18.17,17.53,17.77,61279027
2025-06-06,17.77,17.87,17.47,17.61,46469420
2025-06-09,17.13,17.51,16.89,17.23,87750469
2025-06-10,17.21,17.35,16.93,17.19,70654236
2025-06-11,17.56,17.7,17.22,17.24,72240189
2025-06-12,17.24,17.42,16.72,16.74,76679788
2025-06-13,16.52,16.6,16.14,16.34,96893897
2025-06-16,16.18,16.52,16.12,16.42,49965291
2025-06-17,16.42,16.5,16.2,16.36,37771675
2025-06-18,16.36,16.42,16.06,16.18,48056119
2025-06-19,16.1,16.28,15.78,15.84,45636179
2025-06-20,16.0,16.18,15.9,16.18,66374693
2025-06-23,16.18,16.5,15.76,16.48,76741494
2025-06-24,16.74,17.12,16.74,17.0,93908721
2025-06-25,17.12,17.22,16.68,16.8,75279572
2025-06-26,16.8,16.82,15.88,15.98,109367819
2025-06-27,15.88,16.08,15.5,15.98,79941943
2025-06-30,16.12,16.36,15.84,15.96,55486140
2025-07-02,16.72,16.72,16.06,16.32,92097089
2025-07-03,16.52,16.52,16.16,16.46,53632040
2025-07-04,16.46,16.46,16.18,16.26,42314064
2025-07-07,16.26,16.52,16.12,16.34,32424632
2025-07-08,16.32,16.68,16.28,16.54,63680540
2025-07-09,16.54,17.14,16.42,17.0,93745936
