date,open,high,low,close,volume
2025-03-24,119.851751237,122.191199834,119.311878483,121.381390704,228452534
2025-03-25,120.516594535,121.261418981,118.891977453,120.661560367,167447198
2025-03-26,118.702022225,118.811996304,112.68344079,113.733193366,296431667
2025-03-27,111.323761263,114.423030773,110.633923856,111.403742411,236902055
2025-03-28,111.458729451,112.843403087,109.044398503,109.644157141,229872549
2025-03-31,105.105226956,110.928854341,103.625575706,108.35446112,299212653
2025-04-01,108.489429308,110.174032251,106.444911196,110.124044033,222614034
2025-04-02,107.264717969,111.953612808,106.76483579,110.39398041,220601243
2025-04-03,103.485608696,105.605109135,101.576058772,101.776011644,338769412
2025-04-04,98.886692649,100.106405166,92.088295015,94.287776602,532273810
2025-04-07,87.43939075,101.726023426,86.599588689,97.616991915,611041347
2025-04-08,103.780539182,105.825057294,94.437741256,96.277307675,476243392
2025-04-09,98.866697362,115.072877605,97.507117812,114.30305905,612918336
2025-04-10,109.344227834,110.833876727,99.126636095,107.54465199,437812353
2025-04-11,108.474432843,111.523614158,107.454673197,110.903860232,313417265
2025-04-14,114.083110891,114.263068475,109.044298527,110.683912074,264705049
2025-04-15,110.943850807,113.588227534,110.473961559,112.173560967,228966900
2025-04-16,104.525363628,106.76483579,100.426329761,104.465377767,397016870
2025-04-17,104.425387193,104.44538248,100.026424017,101.466084693,292517465
2025-04-21,98.746725639,99.416567759,95.017604584,96.887163933,288501136
2025-04-22,98.756723283,99.787480336,97.257076746,98.866697362,241004784
2025-04-23,104.495370698,104.775304718,101.995959803,102.68579721,247525971
2025-04-24,103.450616944,106.514894701,103.085702953,106.404920621,220815041
2025-04-25,106.824821652,111.893626947,105.705085571,110.983841381,251064672
2025-04-28,109.664152429,110.343892216,105.995017235,108.704378645,207708479
2025-04-29,107.644628425,110.173932275,107.414682623,108.994310309,170444263
2025-04-30,104.44538248,108.894333873,104.05547438,108.894333873,235044611
2025-05-01,113.053353602,114.912915308,111.273773045,111.583699996,236121507
2025-05-02,114.153094396,115.372806913,113.343285266,114.473018991,190194778
2025-05-05,112.878394839,114.63798011,112.633452572,113.793179227,133163241
2025-05-06,111.453730629,114.712962436,110.795885682,113.513245207,158525621
2025-05-07,113.01836185,117.652269649,112.255341692,117.032415747,207827821
2025-05-08,118.222135333,118.652034007,115.822700874,117.342342698,198428122
2025-05-09,117.322347411,118.202140046,115.182851685,116.62251236,132972189
2025-05-12,121.941258745,122.971016034,120.25165698,122.971016034,225023345
2025-05-13,124.950549462,131.187979315,124.44066964,129.899383034,330430105
2025-05-14,133.163613663,135.403085825,131.648970661,135.308108211,281180830
2025-05-15,134.263354457,136.267881995,132.628739732,134.798228389,226632563
2025-05-16,136.187900846,136.317870213,133.428551218,135.368094073,226542451
2025-05-19,132.358803355,135.837983321,132.358803355,135.538054014,193154571
2025-05-20,134.258355635,134.548287299,132.588749157,134.348334428,161514247
2025-05-21,133.028645475,137.367622789,130.559227511,131.768942384,270608738
