date,open,high,low,close,volume
2025-03-25,504.066224382,504.766478457,497.501342437,499.349235133,3015143
2025-03-26,501.070693065,508.608150113,498.785141573,503.988418374,3255026
2025-03-27,502.125937052,506.789434671,498.882399083,501.576432119,2822160
2025-03-28,502.694893487,506.69217716,500.9248068,501.887656152,2379100
2025-03-31,504.941541975,513.636363396,504.367722664,509.386210196,5238670
2025-04-01,511.321634651,513.684992151,506.662999907,508.773487881,2962708
2025-04-02,508.608150113,510.601929075,502.62681323,508.851293889,2378909
2025-04-03,515.455078838,533.457443995,514.774276266,525.618488665,6457925
2025-04-04,525.813003685,536.609559904,510.446317058,510.65055783,9918989
2025-04-07,499.32005788,514.686744507,489.779096119,510.310156544,7356702
2025-04-08,566.204047713,568.966161006,532.445965888,537.911837967,11762283
2025-04-09,544.778218194,573.239947781,539.253991609,562.634697085,12691858
2025-04-10,564.322114889,585.373502993,564.09355974,578.098641223,8645986
2025-04-11,572.768929658,589.730639455,570.444475162,583.029596995,6121458
2025-04-14,578.682186285,579.294908599,563.403031416,570.959939967,4839273
2025-04-15,575.997879,576.600875564,566.048435697,567.585104359,3871279
2025-04-16,569.267659287,578.497397015,566.972382044,568.995338259,4192093
2025-04-17,468.73257089,476.357559698,434.838328551,441.656080023,29120168
2025-04-21,437.425378325,441.062711952,413.159629505,413.665368558,13029860
2025-04-22,412.994291737,419.666059686,405.680526963,415.464632499,10156865
2025-04-23,415.357649238,426.814583951,412.128699896,416.223241079,8345659
2025-04-24,415.843936789,418.110036779,412.031442385,412.614987447,7629125
2025-04-25,411.943910626,411.943910626,400.720393938,407.158841119,9263777
2025-04-28,408.238399484,412.488552684,404.153584051,408.48154326,6614294
2025-04-29,409.638907632,410.18354969,397.880474637,398.0069094,9909076
2025-04-30,397.807531504,401.928040443,390.002616303,400.156300378,9192825
2025-05-01,400.039591365,400.691216684,388.893880685,389.69139227,9316805
2025-05-02,388.991138195,390.975191406,382.32899874,388.952235191,11392906
2025-05-05,388.174175109,398.464019699,386.686135201,393.708127445,8157196
2025-05-06,391.753251488,393.620692943,382.630497022,383.690603884,7858592
2025-05-07,384.507566971,384.672807481,375.122217227,380.335219779,8521310
2025-05-08,379.30429017,380.199059264,374.801267443,374.976330961,7218320
2025-05-09,375.093039974,375.951337502,368.158579489,370.200987205,8381054
2025-05-12,370.551114243,376.590805632,366.500338939,368.362820261,11004799
2025-05-13,326.527502205,332.620685226,300.622964337,302.840435572,59478308
2025-05-14,312.634266859,314.083403762,298.687539882,299.562857475,40029552
2025-05-15,267.360895814,269.062902244,242.054491634,266.825979508,121849184
2025-05-16,271.630500516,286.413642082,261.754000345,283.904398316,71094348
2025-05-19,296.416577016,307.615779327,289.093086491,307.226749286,62524663
2025-05-20,312.118802054,315.736781437,304.007525695,312.760701622,41486981
2025-05-21,292.745106003,301.459378925,291.840611157,294.670804706,45506882
2025-05-22,285.83009702,297.286934476,284.478217627,288.533855807,27159648
2025-05-23,287.979487998,291.480758369,283.641803038,287.464023193,16873644
2025-05-27,291.286243348,291.723902144,281.20063953,286.909655385,20144557
2025-05-28,285.937080282,295.449642849,285.236826207,289.934363955,16114190
2025-05-29,288.66029057,295.058862173,286.909655385,289.992718461,16262496
2025-05-30,289.79820344,297.25785448,287.725159608,293.630149346,16309280
2025-06-02,294.806965221,304.950923545,292.715928749,296.363085386,19074368
2025-06-03,294.787513719,297.335563231,291.782256651,292.959072525,12805723
2025-06-04,295.215446764,299.203004686,291.96704592,292.142109439,11255616
2025-06-05,292.142109439,294.126162649,286.044063543,287.726618471,13627792
2025-06-06,289.078497864,296.042135602,289.000691856,294.904222731,12588977
2025-06-09,296.669446543,298.969586662,292.882239092,294.875045478,12170320
2025-06-10,295.468316291,296.752115427,292.34635021,295.45859054,11384053
2025-06-11,294.379032176,303.034950592,293.941373379,302.042923987,14711373
2025-06-12,302.864749949,310.056942836,300.049145026,309.765170305,15957166
2025-06-13,307.236475037,308.715956284,303.355900376,304.931472043,13762432
2025-06-16,306.576997425,306.841456815,298.535472987,301.346578363,14240076
2025-06-17,301.140887726,303.589585788,299.245595425,302.531748225,11593898
2025-06-18,301.238835648,305.391827562,299.945923071,300.89601792,12205634
2025-06-20,303.148820137,303.236973267,295.401825103,295.812520742,16177856
2025-06-23,295.704778027,296.263081185,289.455700572,294.509813373,12274663
2025-06-24,295.264012376,299.544336589,293.187320523,299.348440744,8781398
2025-06-25,298.133886505,298.133886505,293.647871655,295.822315534,8722083
2025-06-26,296.361029108,300.416073099,295.1072957,296.410003069,6532694
2025-06-27,296.733231213,304.079325401,295.998621795,302.766823239,15304422
2025-06-30,302.654183128,305.969720305,300.053763734,305.568133823,10074103
2025-07-01,305.568133823,319.848940923,304.69649526,319.447354441,17865491
